time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
4/6/2020 0:35,0,0,0,0,0,0,1,,4/6/2020 0:00,0,0,0,0,0,0,2,,4/6/2020 0:00,0,0,0,0,0,0,3,,4/6/2020 0:00,1.414213562,0.707106781,0.707106781,0,4.949747468,0,4,,4/6/2020 0:05,0,0,0,0,0,0,5,,4/6/2020 0:05,0,0,0,0,0,0,6,,4/6/2020 5:45,0,0,0,0,0,0,7,,4/6/2020 0:00,0,0,0,0,0,0,8,,4/6/2020 0:35,0,0,0,0,0,0,9,,4/6/2020 1:40,0,0,0,0,0,0,10,,4/6/2020 1:05,0,0,0,0,0,0,11,,4/6/2020 0:10,0,0,0,0,0,0,12,,4/6/2020 0:05,0,0,0,0,0,0,13,,4/6/2020 0:05,0,0,0,0,0,0,14,,4/6/2020 0:00,0,0,0,0,0,0,15,,4/6/2020 0:20,0,0,0,0,0,0,16,,4/6/2020 0:00,0,0,0,0,0,0,17,,4/6/2020 0:00,0,0,0,0,0,0,18,,4/6/2020 0:05,0,0,0,0,0,0,19
4/6/2020 0:35,0,0,0,0,0,0,1,,4/6/2020 0:05,0,0,0,0,0,0,2,,4/6/2020 0:10,0,0,0,0,0,0,3,,4/6/2020 0:10,5.656854249,4.242640687,1.414213562,0,3.535533906,0,4,,4/6/2020 0:10,0,0,0,0,0,0,5,,4/6/2020 0:10,0.577350269,2,2.309401077,3.214550254,1,0,6,,4/6/2020 7:00,0,0,0,0,0,0,7,,4/6/2020 0:05,1.673320053,3.646916506,3.872983346,0,3.847076812,0,8,,4/6/2020 0:45,0,0,0,0,0,0,9,,4/6/2020 2:15,0,0,0,0,0,0,10,,4/6/2020 1:20,0,0,0,0,0,0,11,,4/6/2020 0:15,0,0,0,0,0,0,12,,4/6/2020 0:05,0,0,0,0,0,0,13,,4/6/2020 0:50,1.414213562,0.707106781,7.071067812,0,4.242640687,0,14,,4/6/2020 0:05,0,0,0,0,0,0,15,,4/6/2020 0:20,0,0,0,0,0,0,16,,4/6/2020 0:25,0,0,0,0,0,0,17,,4/6/2020 0:10,0,0,0,0,0,0,18,,4/6/2020 0:10,0,0,0,0,0,0,19
4/6/2020 1:20,0,0,0,0,0,0,1,,4/6/2020 0:10,0,0,0,0,0,0,2,,4/6/2020 0:15,0,0,0,0,0,0,3,,4/6/2020 0:30,0,0,0,0,0,0,4,,4/6/2020 0:40,3.535533906,4.949747468,2.121320344,4.242640687,1.414213562,0,5,,4/6/2020 0:15,0,0,0,0,0,0,6,,4/6/2020 9:30,0,0,0,0,0,0,7,,4/6/2020 0:15,2.828427125,5.773502692,3.201562119,0,2.828427125,0,8,,4/6/2020 0:50,0,0,0,0,0,0,9,,4/6/2020 2:25,0,0,0,0,0,0,10,,4/6/2020 1:30,0,0,0,0,0,0,11,,4/6/2020 1:00,0,0,0,0,0,0,12,,4/6/2020 1:10,0,0,0,0,0,0,13,,4/6/2020 0:55,0,0,0,0,0,0,14,,4/6/2020 0:20,0,0,0,0,0,0,15,,4/6/2020 1:10,0,2.828427125,5.656854249,2.828427125,1.414213562,0,16,,4/6/2020 0:35,0,0,0,0,0,0,17,,4/6/2020 0:30,0,0,0,0,0,0,18,,4/6/2020 0:30,0,0,0,0,0,0,19
4/6/2020 1:25,0,0,0,0,0,0,1,,4/6/2020 0:35,4.949747468,2.121320344,3.535533906,0,5.656854249,0,2,,4/6/2020 0:20,0,0,0,0,0,0,3,,4/6/2020 0:55,0,0,0,0,0,0,4,,4/6/2020 0:50,0,0,0,0,0,0,5,,4/6/2020 0:20,0,0,0,0,0,0,6,,4/6/2020 13:20,0,0,0,0,0,0,7,,4/6/2020 0:25,2.121320344,4.242640687,4.949747468,0,0,0,8,,4/6/2020 1:00,2.121320344,4.242640687,0,4.949747468,4.242640687,0,9,,4/6/2020 2:50,0,0,0,0,0,0,10,,4/6/2020 1:35,0,0,0,0,0,0,11,,4/6/2020 0:10,0,0,0,0,0,0,12,,4/6/2020 1:15,4.242640687,0.707106781,4.242640687,0,6.363961031,0,13,,4/6/2020 1:00,1.414213562,1.414213562,7.071067812,0,4.949747468,0,14,,4/6/2020 0:25,2.121320344,2.828427125,3.535533906,0,0,0,15,,4/6/2020 2:40,0,0,0,0,0,0,16,,4/6/2020 0:00,0,0,0,0,0,0,17,,4/6/2020 0:00,0,0,0,0,0,0,18,,4/6/2020 0:40,0,0,0,0,0,0,19
4/6/2020 1:35,0,0,0,0,0,0,1,,4/6/2020 0:40,1.414213562,2.828427125,0.707106781,0,0.707106781,0,2,,4/6/2020 0:25,1.414213562,0,2.828427125,0,1.414213562,0,3,,4/6/2020 0:00,1.414213562,0.707106781,0.707106781,0,4.949747468,0,4,,4/6/2020 0:05,0,0,0,0,0,0,5,,4/6/2020 0:25,0,0,0,0,0,0,6,,4/6/2020 14:25,0,0,0,0,0,0,7,,4/6/2020 0:45,0,0,0,0,0,0,8,,4/6/2020 0:35,0,0,0,0,0,0,9,,4/6/2020 3:20,0,0,0,0,0,0,10,,4/6/2020 2:05,2.121320344,4.242640687,1.414213562,1.414213562,3.535533906,0,11,,4/6/2020 0:15,0,0,0,0,0,0,12,,4/6/2020 2:15,0,0,0,0,0,0,13,,4/6/2020 0:05,0,0,0,0,0,0,14,,4/6/2020 0:50,0,0,0,0,0,0,15,,4/6/2020 2:55,0,0,0,0,0,0,16,,4/6/2020 0:25,0,0,0,0,0,0,17,,4/6/2020 0:10,0,0,0,0,0,0,18,,4/6/2020 0:50,0,0,0,0,0,0,19
4/6/2020 2:00,0,0,0,0,0,0,1,,4/6/2020 0:45,0.707106781,1.414213562,0.707106781,0,2.121320344,0,2,,4/6/2020 0:35,3.535533906,6.363961031,2.121320344,2.828427125,0.707106781,0,3,,4/6/2020 0:10,5.656854249,4.242640687,1.414213562,0,3.535533906,0,4,,4/6/2020 0:10,0,0,0,0,0,0,5,,4/6/2020 0:40,0,2.828427125,3.535533906,4.242640687,2.828427125,0,6,,4/6/2020 16:30,0,0,0,0,0,0,7,,4/6/2020 0:00,0,0,0,0,0,0,8,,4/6/2020 0:45,0,0,0,0,0,0,9,,4/6/2020 4:30,0,0,0,0,0,0,10,,4/6/2020 2:25,0,0,0,0,0,0,11,,4/6/2020 1:00,0,0,0,0,0,0,12,,4/6/2020 6:30,0,0,0,0,0,0,13,,4/6/2020 0:50,1.414213562,0.707106781,7.071067812,0,4.242640687,0,14,,4/6/2020 0:55,5,1.258305739,1.707825128,0,4.193248542,0,15,,4/6/2020 3:35,0,0,0,0,0,0,16,,4/6/2020 0:35,0,0,0,0,0,0,17,,4/6/2020 0:30,0,0,0,0,0,0,18,,4/6/2020 0:55,0,0,0,0,0,0,19
4/6/2020 2:15,4.242640687,0,4.949747468,2.121320344,4.949747468,0,1,,4/6/2020 0:50,0,0,0,0,0,0,2,,4/6/2020 0:40,0,0,7.071067812,0,2.828427125,0,3,,4/6/2020 0:30,0,0,0,0,0,0,4,,4/6/2020 0:40,3.535533906,4.949747468,2.121320344,4.242640687,1.414213562,0,5,,4/6/2020 0:45,0,0,0,0,0,0,6,,4/7/2020 10:35,0,0,0,0,0,0,7,,4/6/2020 0:05,1.673320053,3.646916506,3.872983346,0,3.847076812,0,8,,4/6/2020 0:50,0,0,0,0,0,0,9,,4/6/2020 5:15,0,0,0,0,0,0,10,,4/6/2020 2:45,0,0,0,0,0,0,11,,4/6/2020 1:05,0,0,0,0,0,0,12,,4/6/2020 7:05,0,0,0,0,0,0,13,,4/6/2020 0:55,0,0,0,0,0,0,14,,4/6/2020 0:00,0,0,0,0,0,0,15,,4/6/2020 3:40,0,0,0,0,0,0,16,,4/6/2020 4:10,0,0,0,0,0,0,17,,4/6/2020 1:15,0,0,0,0,0,0,18,,4/6/2020 0:05,0,0,0,0,0,0,19
4/6/2020 2:20,0,0,0,0,0,0,1,,4/6/2020 0:55,0,0,0,0,0,0,2,,4/6/2020 0:50,0,0,0,0,0,0,3,,4/6/2020 0:55,0,0,0,0,0,0,4,,4/6/2020 0:50,0,0,0,0,0,0,5,,4/6/2020 0:55,0,0,0,0,0,0,6,,4/8/2020 8:35,0,0,0,0,0,0,7,,4/6/2020 0:15,2.828427125,5.773502692,3.201562119,0,2.828427125,0,8,,4/6/2020 1:00,2.121320344,4.242640687,0,4.949747468,4.242640687,0,9,,4/6/2020 6:15,0,0,0,0,0,0,10,,4/6/2020 2:50,0,0,0,0,0,0,11,,4/6/2020 1:25,0,0,0,0,0,0,12,,4/6/2020 7:45,0,0,0,0,0,0,13,,4/6/2020 1:00,1.414213562,1.414213562,7.071067812,0,4.949747468,0,14,,4/6/2020 0:05,0,0,0,0,0,0,15,,4/6/2020 4:10,0,0,0,0,0,0,16,,4/6/2020 5:40,0,0,0,0,0,0,17,,4/6/2020 1:25,0,0,0,0,0,0,18,,4/6/2020 0:10,0,0,0,0,0,0,19
4/6/2020 2:25,5.656854249,1.414213562,2.121320344,0.707106781,4.242640687,0,1,,4/6/2020 0:00,0,0,0,0,0,0,2,,4/6/2020 1:00,0,0,0,0,0,0,3,,4/6/2020 2:05,0,0,0,0,0,0,4,,4/6/2020 1:35,0,0,0,0,0,0,5,,4/6/2020 1:00,6.363961031,2.828427125,4.242640687,4.949747468,5.656854249,0,6,,4/8/2020 8:40,0,0,0.707106781,0,0,0,7,,4/6/2020 0:25,2.121320344,4.242640687,4.949747468,0,0,0,8,,4/6/2020 1:05,0,0,0,0,0,0,9,,4/6/2020 6:30,0,0,0,0,0,0,10,,4/6/2020 2:55,0,0,0,0,0,0,11,,4/6/2020 1:35,0,0,0,0,0,0,12,,4/6/2020 8:00,0,0,0,0,0,0,13,,4/6/2020 1:15,0,0,0,0,0,0,14,,4/6/2020 0:20,0,0,0,0,0,0,15,,4/6/2020 5:10,0,0,0,0,0,0,16,,4/6/2020 6:40,0,0,0,0,0,0,17,,4/6/2020 1:35,0,0,0,0,0,0,18,,4/6/2020 0:30,0,0,0,0,0,0,19
4/6/2020 2:30,0,0,0,0,0,0,1,,4/6/2020 0:05,0,0,0,0,0,0,2,,4/6/2020 0:00,0,0,0,0,0,0,3,,4/6/2020 2:25,0,0,0,0,0,0,4,,4/6/2020 1:50,0,0,0,0,0,0,5,,4/6/2020 0:05,0,0,0,0,0,0,6,,4/8/2020 8:45,0,0.577350269,0.816496581,0,0,0.5,7,,4/6/2020 0:45,0,0,0,0,0,0,8,,4/6/2020 1:10,0,0,0,0,0,0,9,,4/6/2020 6:35,0,0,0,0,0,0,10,,4/6/2020 3:00,0,0,0,0,0,0,11,,4/6/2020 2:20,0,0,0,0,0,0,12,,4/6/2020 8:25,0,0,0,0,0,0,13,,4/6/2020 1:25,3.535533906,3.535533906,5.656854249,0,2.121320344,0,14,,4/6/2020 0:25,2.121320344,2.828427125,3.535533906,0,0,0,15,,4/6/2020 5:15,0,0,0,0,0,0,16,,4/6/2020 7:10,5.507570547,3.511884584,1,0,3.055050463,0,17,,4/6/2020 1:55,0,0,0,0,0,0,18,,4/6/2020 0:40,0,0,0,0,0,0,19
